"elapsed_s","app_mb","eqmux_mb","webview_mb","shell_mb","other_mb","tree_mb","procs"
"30","481.2","24.1","457.2","368.2","48.5","897.9","17"
"61","481.8","24","457.8","365.8","48.5","896","17"
"91","482.1","24","458.1","365.5","48.5","896.1","17"
"120","481.5","24","457.5","365.5","48.5","895.4","17"
"151","482","24","458","365.3","48.5","895.8","17"
"181","482.4","24","458.4","365.4","48.5","896.3","17"
"210","484.2","24","460.2","365.3","48.5","898.1","17"
"240","481.7","24","457.7","365.4","48.5","895.6","17"
"271","482.8","24","458.8","365.3","48.5","896.6","17"
"300","482.3","24.1","458.2","365.3","48.5","896.1","17"
