"elapsed_s","tree_mb","app_mb","pwsh_mb","conhost_mb","other_mb","procs"
"30","874.2","570.8","274.9","28.5","0","12"
"60","865.8","563.6","273.7","28.5","0","12"
"90","851.2","549.3","273.5","28.3","0","12"
"120","852.8","551","273.5","28.3","0","12"
"150","851.4","549.8","273.2","28.3","0","12"
"180","853.4","551.8","273.3","28.3","0","12"
"210","848.8","547.1","273.3","28.3","0","12"
"240","847.6","545.7","273.5","28.3","0","12"
"270","847.3","545.4","273.6","28.3","0","12"
"300","847.3","545.4","273.6","28.3","0","12"
