"sample","elapsed_s","app_mb","eqmux_mb","webview_mb","shell_mb","other_mb","tree_mb","procs"
"1","30","430.3","33.4","396.9","382.7","0","813","15"
"2","60","421.1","33.3","387.7","379.7","0","800.8","15"
"3","90","341.7","33.3","308.3","379.6","0","721.2","15"
"4","120","123.1","33.3","89.7","379.6","0","502.6","15"
"5","150","146.8","33.2","113.6","379.4","0","526.2","15"
"6","180","147.7","33.2","114.5","379.5","0","527.2","15"
"7","210","157.9","33.2","124.7","379.5","0","537.4","15"
"8","240","153.6","33.2","120.3","379.5","0","533.1","15"
"9","270","155.2","33.2","121.9","379.2","0","534.4","15"
"10","300","164.8","33.4","131.4","379.2","0","544","15"
"11","330","167.5","33.4","134.1","380.8","0","548.3","15"
"12","360","167.4","33.4","134","380.8","0","548.2","15"
"13","390","170.3","33.6","136.8","381.1","0","551.4","15"
"14","420","170.1","33.5","136.6","380.9","0","551","15"
"15","450","170.7","33.5","137.2","380.9","0","551.6","15"
"16","480","170.5","33.5","137","380.8","0","551.4","15"
"17","510","171.2","33.6","137.6","380.8","0","552","15"
"18","540","171.8","33.6","138.2","380.8","0","552.6","15"
"19","570","172.1","33.6","138.5","380.8","0","552.9","15"
"20","600","173.7","33.6","140.1","380.8","0","554.5","15"
